threshold,net_benefit,treat_all,treat_none,prevalence,n,n_pos,benchmark,model,n_scored
0.3,0.3003169079724104,0.30963773069036227,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.31,0.29120411521077216,0.29963248041051244,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.32,0.2843947496353913,0.2893329580636082,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.33,0.2803944609272039,0.27872598728843817,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.34,0.2748494075157841,0.2677975931564448,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.35000000000000003,0.26827717736808643,0.25653294074346705,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.36000000000000004,0.26215202261852977,0.2449162679425837,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.37,0.2584698661253685,0.23293081187818032,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.38,0.2520591000294658,0.22055872819879613,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.39,0.2428639679404445,0.20778100243156328,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.4,0.23488473249238798,0.1945773524720893,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.41000000000000003,0.22980514741118097,0.18092612115805695,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.42000000000000004,0.2211156274842135,0.16680415772974755,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.43,0.21745533908716988,0.15218668681272568,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.44,0.21155160628844838,0.13704716336295286,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.45,0.2040808256554233,0.12135711178773384,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.46,0.19507676445475486,0.10508594719121034,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.47000000000000003,0.18559340812658498,0.08820077638349733,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.48000000000000004,0.17833840800347978,0.07066617592933383,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.49,0.17298228556320308,0.05244394408481101,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.5,0.16267942583732056,0.033492822966507185,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.51,0.15664308350569459,0.013768186700517493,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.52,0.15111642743221687,-0.006778309409888439,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.53,0.14332781135183656,-0.028199124503715867,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.54,0.1347844998770732,-0.05055127938423143,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.55,0.12952491421390938,-0.07389686337054768,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.56,0.12048716833405826,-0.09830361026533285,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.5700000000000001,0.11666346338650774,-0.12384555469010805,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.5800000000000001,0.11162203028231729,-0.15060378218272974,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.59,0.10598457441729708,-0.178667289065235,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.6,0.10265332753371034,-0.20813397129186595,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.61,0.09108754084830642,-0.23911176542755486,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.62,0.08630754790412307,-0.2717199697809116,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.63,0.08293852791460449,-0.30609077977499033,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.64,0.07776327872021652,-0.34237107921318455,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.65,0.07332380538122163,-0.3807245386192756,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.66,0.06404319013381776,-0.4213340838727837,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.67,0.058259849473420555,-0.4644048136871105,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.68,0.05442583732057413,-0.5101674641148328,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.6900000000000001,0.05017609339263909,-0.5588825436024081,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.7000000000000001,0.04697694649847753,-0.6108452950558216,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.7100000000000001,0.04177228480148781,-0.6663916845405053,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.72,0.03423848878394334,-0.7259056732740943,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.73,0.025196140028675956,-0.7898281056175791,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.74,0.021079399069829724,-0.8586676481413322,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.75,0.01000434971726838,-0.9330143540669857,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.76,0.005872118312309688,-1.0135566188197769,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.77,-0.002118123191557797,-1.1011025587684629,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.78,-0.007869033967337596,-1.1966072205306657,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.79,-0.014747612833737295,-1.3012075643654595,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.8,-0.021313614615050075,-1.4162679425837326,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.81,-0.02657906183466502,-1.5434399395618237,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.8200000000000001,-0.026194963994007114,-1.6847421584263698,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.8300000000000001,-0.032085561497326304,-1.8426681677455683,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.8400000000000001,-0.03468899521531113,-2.020334928229667,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.85,-0.03755255908365954,-2.2216905901116424,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.86,-0.056981296215745963,-2.4518113465481886,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.87,-0.0690266671127915,-2.7173352962826645,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.88,-0.08481948673336236,-3.0271132376395538,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.89,-0.09138360552018665,-3.3932144410613314,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.9,-0.10613310134841239,-3.832535885167465,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.91,-0.12498187617804848,-4.3694843168527395,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.92,-0.1398434101783385,-5.040669856459333,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.93,-0.15074877275834228,-5.903622693096382,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.9400000000000001,-0.15137016093953912,-7.0542264752791155,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.9500000000000001,-0.14310569812962182,-8.665071770334942,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.9600000000000001,-0.1130926489778167,-11.081339712918682,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.97,-0.1293315934464259,-15.1084529505582,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.98,-0.12266202696824696,-23.1626794258373,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.99,-0.042627229230100004,-47.3253588516746,0.0,0.5167464114832536,2299.0,1188.0,mave_independent,REVEL,2299
0.01,-0.00019234234507836434,-0.010101010101010102,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.02,-0.0003477037237023493,-0.020408163265306124,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.03,-0.0005269324472602613,-0.030927835051546393,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.04,-0.0005261575466025257,-0.04166666666666667,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.05,-0.0003586838412929498,-0.052631578947368425,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.060000000000000005,-0.0003838231342997148,-0.06382978723404256,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.06999999999999999,-0.0004526086422387316,-0.07526881720430106,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.08,-0.0005228894873068577,-0.08695652173913043,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.09,-0.00047577197306601995,-0.0989010989010989,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.09999999999999999,-0.0005345092536914545,-0.1111111111111111,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.11,-0.0005945664732073483,-0.12359550561797752,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.12,-0.0006559886295304214,-0.13636363636363635,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.13,-0.0006289699407662375,-0.14942528735632185,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.14,-0.0006852284327846846,-0.16279069767441862,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.15000000000000002,-0.0007428106540270951,-0.17647058823529416,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.16,-0.000801763880537182,-0.1904761904761905,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.17,-0.0008210834921163912,-0.20481927710843376,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.18000000000000002,-0.0008799847469310534,-0.21951219512195125,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.19,-0.0009403403537164477,-0.2345679012345679,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.2,-0.0010022048506714773,-0.25,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.21000000000000002,-0.0010656355374228368,-0.2658227848101266,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.22,-0.0011306926520396154,-0.28205128205128205,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.23,-0.0011974395618412456,-0.2987012987012987,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.24000000000000002,-0.0012659429692692347,-0.31578947368421056,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.25,-0.0013362731342286363,-0.3333333333333333,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.26,-0.0014085041144572114,-0.35135135135135137,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.27,-0.001482714025650953,-0.36986301369863017,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.28,-0.0014810360571034056,-0.38888888888888895,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.29000000000000004,-0.0015555348527323495,-0.4084507042253522,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.3,-0.001632162185379263,-0.4285714285714286,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.31,-0.0012607446527287572,-0.44927536231884063,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.32,-0.0013205522738259467,-0.4705882352941177,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.33,-0.0013821451970454405,-0.4925373134328359,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.34,-0.001445604572483707,-0.5151515151515152,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.35000000000000003,-0.0015110165440893044,-0.5384615384615385,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.36000000000000004,-0.001578472639807577,-0.5625000000000001,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.37,-0.001648070198881985,-0.5873015873015873,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.38,-0.0014742110061490119,-0.6129032258064516,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.39,-0.0015378094102106604,-0.639344262295082,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.4,-0.001603527761074364,-0.6666666666666667,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.41000000000000003,-0.0016714738526453113,-0.6949152542372882,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.42000000000000004,-0.0017417629128911195,-0.7241379310344829,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.43,-0.0018145182559525692,-0.7543859649122806,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.44,-0.0018898720041233572,-0.7857142857142857,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.45,-0.0019679658885912643,-0.8181818181818181,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.46,-0.0020489521391505758,-0.8518518518518519,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.47000000000000003,-0.002132994474636654,-0.8867924528301887,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.48000000000000004,-0.0022202692076414266,-0.9230769230769231,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.49,-0.0023109664791954062,-0.9607843137254901,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.5,-0.0024052916416115455,-1.0,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.51,-0.0016689778737712766,-1.0408163265306123,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.52,-0.0017371550744972276,-1.0833333333333335,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.53,-0.0018082334327008784,-1.1276595744680853,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.54,-0.001882402154304688,-1.173913043478261,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.55,-0.001959867263535334,-1.2222222222222225,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.56,-0.002040853514094645,-1.272727272727273,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.5700000000000001,-0.0018599057461298584,-1.3255813953488376,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.5800000000000001,-0.0019375960446315233,-1.3809523809523814,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
0.59,-0.0020190761137918053,-1.4390243902439022,0.0,0.0,4989.0,0.0,gnomad_benign,AGVarPred,4989
